number,created_at,html_url,state,resolution,resolved_at,resolved_by_username,resolved_by_type,resolved_by_isadmin,secret_type,secret_type_display_name,repo_name,repo_owner,repo_owner_type,repo_owner_isadmin,repo_url,repo_isfork,repo_isprivate
5,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/5,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
4,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/4,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
3,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/3,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
2,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/2,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
1,2024-10-02T14:59:36Z,https://github.com/ctcampbellcom/example-ghas-monorepo/security/secret-scanning/1,open,,,,,,jwt,JWT,ctcampbellcom/example-ghas-monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/example-ghas-monorepo,True,True
1,2024-10-02T11:15:23Z,https://github.com/ctcampbellcom/monorepo-action/security/secret-scanning/1,resolved,used_in_tests,2024-10-02T11:15:23Z,ctcampbell,User,True,github_app_installation_access_token,GitHub App Installation Access Token,ctcampbellcom/monorepo-action,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo-action,False,True
5,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/5,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
4,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/4,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
3,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/3,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
2,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/2,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
1,2024-09-30T12:45:44Z,https://github.com/ctcampbellcom/monorepo/security/secret-scanning/1,open,,,,,,jwt,JWT,ctcampbellcom/monorepo,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/monorepo,False,True
89,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/89,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
88,2024-09-26T19:41:00Z,https://github.com/ctcampbellcom/webgoat/security/secret-scanning/88,open,,,,,,jwt,JWT,ctcampbellcom/webgoat,ctcampbellcom,Organization,False,https://github.com/ctcampbellcom/webgoat,True,False
